neighbourhood_group,neighbourhood
,Ashfield
,Auburn
,Bankstown
,Blacktown
,Botany Bay
,Burwood
,Camden
,Campbelltown
,Canada Bay
,Canterbury
,City Of Kogarah
,Fairfield
,Holroyd
,Hornsby
,Hunters Hill
,Hurstville
,Ku-Ring-Gai
,Lane Cove
,Leichhardt
,Liverpool
,Manly
,Marrickville
,Mosman
,North Sydney
,Parramatta
,Penrith
,Pittwater
,Randwick
,Rockdale
,Ryde
,Strathfield
,Sutherland Shire
,Sydney
,The Hills Shire
,Warringah
,Waverley
,Willoughby
,Woollahra
